user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ud0699	2018-12-17 06:51:59.845018+00:00	2018-12-17 06:56:33+00:00	2018-12-17 06:15:20.500000+00:00	2018-12-17 07:10:42+00:00	2018-12-17 06:24:20.100000+00:00	2018-12-17 07:10:22.250000+00:00
ud1163	2018-12-17 06:49:06.713893+00:00	2018-12-17 06:54:03+00:00	2018-12-17 06:05:17.050000+00:00	2018-12-17 07:04:35+00:00	2018-12-17 06:18:00+00:00	2018-12-17 07:04:18.870000+00:00
ud0698	2018-12-17 05:24:22.775701+00:00	2018-12-17 05:22:12+00:00	2018-12-17 05:03:25+00:00	2018-12-17 06:02:00+00:00	2018-12-17 05:04:59.240000+00:00	2018-12-17 05:57:27.880000+00:00
ud0776	2018-12-17 06:25:55.333732+00:00	2018-12-17 06:28:34.500000+00:00	2018-12-17 05:54:39.625000+00:00	2018-12-17 06:47:49.125000+00:00	2018-12-17 06:01:58+00:00	2018-12-17 06:46:37.025000+00:00
ud0974	2018-12-17 06:42:11.368421+00:00	2018-12-17 06:46:54+00:00	2018-12-17 06:00:32.550000+00:00	2018-12-17 07:03:14+00:00	2018-12-17 06:13:47+00:00	2018-12-17 07:02:48+00:00
ud0751	2018-12-17 06:43:34.855670+00:00	2018-12-17 06:50:34.500000+00:00	2018-12-17 05:26:14.200000+00:00	2018-12-17 07:25:07+00:00	2018-12-17 05:45:04.365000+00:00	2018-12-17 07:23:07.635000+00:00
ud0734						
ud1100	2018-12-17 07:16:05.765823+00:00	2018-12-17 07:27:04.500000+00:00	2018-12-17 06:09:46+00:00	2018-12-17 07:50:48+00:00	2018-12-17 06:19:20+00:00	2018-12-17 07:48:52.030000+00:00
ud0621	2018-12-17 06:31:00.170951+00:00	2018-12-17 06:31:15+00:00	2018-12-17 06:00:23.125000+00:00	2018-12-17 06:56:53+00:00	2018-12-17 06:05:11.045000+00:00	2018-12-17 06:55:40+00:00
ud1132	2018-12-17 07:00:21.619048+00:00	2018-12-17 07:09:58+00:00	2018-12-17 05:36:43+00:00	2018-12-17 07:44:16+00:00	2018-12-17 06:01:17.395000+00:00	2018-12-17 07:43:41.565000+00:00
ud0963	2018-12-17 06:47:30.279245+00:00	2018-12-17 06:50:28.500000+00:00	2018-12-17 06:11:44.075000+00:00	2018-12-17 07:09:30.775000+00:00	2018-12-17 06:22:22+00:00	2018-12-17 07:08:51.175000+00:00
ud1146	2018-12-17 06:39:50+00:00	2018-12-17 06:27:16+00:00	2018-12-17 06:09:52.300000+00:00	2018-12-17 07:20:59.100000+00:00	2018-12-17 06:13:21.820000+00:00	2018-12-17 07:14:32.940000+00:00
ud0464	2018-12-17 06:05:38.324705+00:00	2018-12-17 05:45:07+00:00	2018-12-17 04:58:29.600000+00:00	2018-12-17 07:05:07.700000+00:00	2018-12-17 05:18:41+00:00	2018-12-17 07:04:38+00:00
