user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ud0699	2018-12-17 17:36:39.749077+00:00	2018-12-17 17:24:42+00:00	2018-12-17 17:14:49+00:00	2018-12-17 18:36:44.250000+00:00	2018-12-17 17:14:58+00:00	2018-12-17 18:26:03.250000+00:00
ud1163	2018-12-17 17:41:19.210454+00:00	2018-12-17 17:28:39+00:00	2018-12-17 17:13:52+00:00	2018-12-17 18:37:54+00:00	2018-12-17 17:13:57+00:00	2018-12-17 18:29:54.290000+00:00
ud0698	2018-12-17 18:28:42.433755+00:00	2018-12-17 18:32:51+00:00	2018-12-17 17:47:55+00:00	2018-12-17 18:53:01+00:00	2018-12-17 17:50:07.300000+00:00	2018-12-17 18:52:46+00:00
ud0776	2018-12-17 17:37:13.606459+00:00	2018-12-17 17:29:07+00:00	2018-12-17 17:07:21+00:00	2018-12-17 18:25:35.875000+00:00	2018-12-17 17:07:34.950000+00:00	2018-12-17 18:20:34+00:00
ud0974	2018-12-17 17:40:12.989879+00:00	2018-12-17 17:34:38.500000+00:00	2018-12-17 17:05:20+00:00	2018-12-17 18:33:39.775000+00:00	2018-12-17 17:06:44+00:00	2018-12-17 18:23:38.895000+00:00
ud0751	2018-12-17 17:25:32.621649+00:00	2018-12-17 17:14:44.500000+00:00	2018-12-17 16:32:02.225000+00:00	2018-12-17 18:48:56.075000+00:00	2018-12-17 16:33:02+00:00	2018-12-17 18:34:50.635000+00:00
ud0734						
ud1100	2018-12-17 17:07:16.835443+00:00	2018-12-17 16:46:00+00:00	2018-12-17 16:31:48+00:00	2018-12-17 18:38:09+00:00	2018-12-17 16:32:10+00:00	2018-12-17 18:30:25+00:00
ud0621	2018-12-17 17:55:15.305913+00:00	2018-12-17 17:54:58.500000+00:00	2018-12-17 17:16:08.425000+00:00	2018-12-17 18:37:27.300000+00:00	2018-12-17 17:16:57+00:00	2018-12-17 18:33:30.955000+00:00
ud1132	2018-12-17 17:31:49.809524+00:00	2018-12-17 17:10:42.500000+00:00	2018-12-17 16:35:10.100000+00:00	2018-12-17 19:01:44.200000+00:00	2018-12-17 16:35:31.005000+00:00	2018-12-17 18:42:50.770000+00:00
ud0963	2018-12-17 17:46:18.724528+00:00	2018-12-17 17:34:56+00:00	2018-12-17 17:15:52.225000+00:00	2018-12-17 18:39:22+00:00	2018-12-17 17:16:17+00:00	2018-12-17 18:30:08.050000+00:00
ud1146	2018-12-17 17:31:08.400000+00:00	2018-12-17 18:00:54+00:00	2018-12-17 16:35:25.700000+00:00	2018-12-17 18:15:28.700000+00:00	2018-12-17 16:36:12.980000+00:00	2018-12-17 18:12:35.180000+00:00
ud0464	2018-12-17 19:00:04.675295+00:00	2018-12-17 19:07:06+00:00	2018-12-17 17:55:37+00:00	2018-12-17 20:06:45.600000+00:00	2018-12-17 18:01:11.210000+00:00	2018-12-17 19:48:57+00:00
ud0762	2018-12-17 17:17:14.802233+00:00	2018-12-17 16:52:49+00:00	2018-12-17 16:29:18+00:00	2018-12-17 18:48:14.750000+00:00	2018-12-17 16:29:56+00:00	2018-12-17 18:38:56.550000+00:00
ud0683						
ud0938	2018-12-17 17:50:07.712695+00:00	2018-12-17 17:46:35+00:00	2018-12-17 17:14:58+00:00	2018-12-17 18:38:58+00:00	2018-12-17 17:15:34+00:00	2018-12-17 18:34:44+00:00
ud1067	2018-12-17 18:17:01.211970+00:00	2018-12-17 18:24:40+00:00	2018-12-17 17:01:06+00:00	2018-12-17 19:23:26+00:00	2018-12-17 17:03:44+00:00	2018-12-17 19:18:59+00:00
ud1117						
ud0931	2018-12-17 17:48:48.169173+00:00	2018-12-17 17:48:34+00:00	2018-12-17 17:26:21.625000+00:00	2018-12-17 18:11:45.125000+00:00	2018-12-17 17:29:27+00:00	2018-12-17 18:09:03.250000+00:00
ud0526	2018-12-17 18:03:20.253448+00:00	2018-12-17 18:02:11+00:00	2018-12-17 17:46:29+00:00	2018-12-17 18:21:35+00:00	2018-12-17 17:48:16.430000+00:00	2018-12-17 18:19:51.785000+00:00
ud0567						
ud1188	2018-12-17 17:33:47.808605+00:00	2018-12-17 17:24:57.500000+00:00	2018-12-17 17:11:26+00:00	2018-12-17 18:18:50+00:00	2018-12-17 17:11:47+00:00	2018-12-17 18:15:42.130000+00:00
ud0777						
ud0782	2018-12-17 19:01:09.930000+00:00	2018-12-17 19:01:04+00:00	2018-12-17 18:51:17.975000+00:00	2018-12-17 19:08:35.025000+00:00	2018-12-17 18:54:49+00:00	2018-12-17 19:07:59+00:00
ud0452	2018-12-17 18:10:20.255931+00:00	2018-12-17 18:11:37+00:00	2018-12-17 17:50:07+00:00	2018-12-17 18:22:06.500000+00:00	2018-12-17 17:55:38+00:00	2018-12-17 18:21:16+00:00
ud0628	2018-12-17 18:08:35.868217+00:00	2018-12-17 18:00:45+00:00	2018-12-17 17:39:45+00:00	2018-12-17 18:54:37.050000+00:00	2018-12-17 17:40:15.620000+00:00	2018-12-17 18:49:25.660000+00:00
ud0732						
ud0533	2018-12-17 18:21:40.989305+00:00	2018-12-17 18:21:20+00:00	2018-12-17 18:13:32+00:00	2018-12-17 18:30:10.800000+00:00	2018-12-17 18:13:44+00:00	2018-12-17 18:28:57+00:00
ud0911	2018-12-17 18:22:25.791386+00:00	2018-12-17 18:11:08+00:00	2018-12-17 18:01:12+00:00	2018-12-17 19:02:35.900000+00:00	2018-12-17 18:01:31+00:00	2018-12-17 19:00:44.860000+00:00
ud0512	2018-12-17 17:33:25.145477+00:00	2018-12-17 17:31:35+00:00	2018-12-17 16:59:42+00:00	2018-12-17 18:19:08.725000+00:00	2018-12-17 17:00:46+00:00	2018-12-17 18:11:36.555000+00:00
ud1169						
ud0898	2018-12-17 17:29:10.460784+00:00	2018-12-17 17:28:06+00:00	2018-12-17 17:24:35+00:00	2018-12-17 17:39:00.400000+00:00	2018-12-17 17:24:37.585000+00:00	2018-12-17 17:36:39.075000+00:00
ud0709	2018-12-17 17:21:16.370732+00:00	2018-12-17 17:07:00.500000+00:00	2018-12-17 16:32:02+00:00	2018-12-17 18:57:32.575000+00:00	2018-12-17 16:34:22+00:00	2018-12-17 18:37:59.910000+00:00
ud1171	2018-12-17 18:16:47.198718+00:00	2018-12-17 18:11:38.500000+00:00	2018-12-17 17:42:47+00:00	2018-12-17 18:56:03.125000+00:00	2018-12-17 17:45:02.875000+00:00	2018-12-17 18:46:15+00:00
ud0611	2018-12-17 17:37:01.164474+00:00	2018-12-17 17:31:16+00:00	2018-12-17 17:11:33.175000+00:00	2018-12-17 18:20:23.250000+00:00	2018-12-17 17:12:39+00:00	2018-12-17 18:12:20+00:00
ud0720	2018-12-17 17:45:11.318812+00:00	2018-12-17 17:35:14+00:00	2018-12-17 17:16:06+00:00	2018-12-17 18:37:31.200000+00:00	2018-12-17 17:16:28.360000+00:00	2018-12-17 18:31:27.880000+00:00
ud0534	2018-12-17 17:39:30.689655+00:00	2018-12-17 17:16:08+00:00	2018-12-17 17:08:21.800000+00:00	2018-12-17 18:59:47.800000+00:00	2018-12-17 17:08:34.500000+00:00	2018-12-17 18:39:22.260000+00:00
ud0761	2018-12-17 17:50:57.462963+00:00	2018-12-17 17:49:46.500000+00:00	2018-12-17 17:09:47.800000+00:00	2018-12-17 18:28:25.475000+00:00	2018-12-17 17:10:38.515000+00:00	2018-12-17 18:26:40.865000+00:00
ud1151	2018-12-17 17:40:30.325000+00:00	2018-12-17 17:35:05.500000+00:00	2018-12-17 17:27:41.975000+00:00	2018-12-17 18:37:15+00:00	2018-12-17 17:27:45+00:00	2018-12-17 18:11:46.720000+00:00
ud1187	2018-12-17 17:22:08.673548+00:00	2018-12-17 17:08:28+00:00	2018-12-17 16:54:55+00:00	2018-12-17 18:26:30.750000+00:00	2018-12-17 16:55:29.580000+00:00	2018-12-17 18:15:20+00:00
ud0998	2018-12-17 17:37:54.057114+00:00	2018-12-17 17:23:57+00:00	2018-12-17 16:31:14.925000+00:00	2018-12-17 19:15:31.650000+00:00	2018-12-17 16:33:22+00:00	2018-12-17 19:03:09.415000+00:00
ud0859	2018-12-17 17:57:54.033550+00:00	2018-12-17 17:54:58+00:00	2018-12-17 17:33:39+00:00	2018-12-17 18:35:16.250000+00:00	2018-12-17 17:34:50.820000+00:00	2018-12-17 18:26:56.180000+00:00
ud0988	2018-12-17 17:21:14.077399+00:00	2018-12-17 17:20:50+00:00	2018-12-17 16:38:50.200000+00:00	2018-12-17 17:51:59.400000+00:00	2018-12-17 16:47:23+00:00	2018-12-17 17:47:33.880000+00:00
ud1152	2018-12-17 18:14:05.578571+00:00	2018-12-17 18:08:26+00:00	2018-12-17 17:51:44+00:00	2018-12-17 19:27:47.250000+00:00	2018-12-17 17:52:01.485000+00:00	2018-12-17 18:55:56.215000+00:00
ud1033	2018-12-17 18:38:56.340149+00:00	2018-12-17 18:40:41+00:00	2018-12-17 17:50:05+00:00	2018-12-17 19:29:26.125000+00:00	2018-12-17 17:52:17.250000+00:00	2018-12-17 19:27:05.625000+00:00
ud1082	2018-12-17 17:38:47.988439+00:00	2018-12-17 17:20:01+00:00	2018-12-17 16:59:51.400000+00:00	2018-12-17 18:25:01+00:00	2018-12-17 17:01:55+00:00	2018-12-17 18:22:53.940000+00:00
ud1062						
ud0913	2018-12-17 17:32:08.617143+00:00	2018-12-17 17:31:23.500000+00:00	2018-12-17 16:55:46.475000+00:00	2018-12-17 18:21:01+00:00	2018-12-17 16:56:42+00:00	2018-12-17 18:14:54.585000+00:00
ud0564	2018-12-17 17:33:53.254352+00:00	2018-12-17 17:26:25+00:00	2018-12-17 16:57:40+00:00	2018-12-17 18:42:39.625000+00:00	2018-12-17 16:58:19+00:00	2018-12-17 18:25:59+00:00
ud1048	2018-12-17 17:14:58.212766+00:00	2018-12-17 16:57:00+00:00	2018-12-17 16:31:55.200000+00:00	2018-12-17 18:52:43.550000+00:00	2018-12-17 16:34:23.280000+00:00	2018-12-17 18:50:44.060000+00:00
ud0652						
ud0916	2018-12-17 18:06:20.530928+00:00	2018-12-17 17:53:07.500000+00:00	2018-12-17 17:45:32+00:00	2018-12-17 18:57:18.850000+00:00	2018-12-17 17:45:55+00:00	2018-12-17 18:52:03+00:00
ud0520	2018-12-17 17:32:34.500817+00:00	2018-12-17 17:26:33.500000+00:00	2018-12-17 16:58:10+00:00	2018-12-17 18:30:29+00:00	2018-12-17 16:58:37+00:00	2018-12-17 18:23:35.045000+00:00
ud0559	2018-12-17 18:05:21.590667+00:00	2018-12-17 17:42:19+00:00	2018-12-17 17:12:13.725000+00:00	2018-12-17 19:29:20+00:00	2018-12-17 17:13:48.665000+00:00	2018-12-17 19:17:31.735000+00:00
ud0964	2018-12-17 17:50:29.902098+00:00	2018-12-17 18:15:56+00:00	2018-12-17 16:02:46+00:00	2018-12-17 19:15:46.450000+00:00	2018-12-17 16:09:13.690000+00:00	2018-12-17 19:10:38.310000+00:00
ud0802	2018-12-17 17:32:24.728723+00:00	2018-12-17 17:31:34.500000+00:00	2018-12-17 17:06:55.575000+00:00	2018-12-17 18:09:57+00:00	2018-12-17 17:14:22.755000+00:00	2018-12-17 17:56:09+00:00
ud0901	2018-12-17 17:35:04.139344+00:00	2018-12-17 17:24:02+00:00	2018-12-17 17:06:00.125000+00:00	2018-12-17 18:45:26.250000+00:00	2018-12-17 17:06:28.250000+00:00	2018-12-17 18:30:25.100000+00:00
ud0494						
ud1147	2018-12-17 18:31:15.778784+00:00	2018-12-17 18:27:43+00:00	2018-12-17 18:08:58+00:00	2018-12-17 19:11:28.100000+00:00	2018-12-17 18:11:19.860000+00:00	2018-12-17 19:02:12.200000+00:00
ud0639	2018-12-17 18:00:21.173214+00:00	2018-12-17 17:49:25.500000+00:00	2018-12-17 17:37:24+00:00	2018-12-17 18:56:35.050000+00:00	2018-12-17 17:37:41+00:00	2018-12-17 18:53:28+00:00
ud0957						
ud0733	2018-12-17 18:13:38.061947+00:00	2018-12-17 18:11:48+00:00	2018-12-17 17:47:56+00:00	2018-12-17 18:50:48.800000+00:00	2018-12-17 17:48:16+00:00	2018-12-17 18:37:51.890000+00:00
ud0629	2018-12-17 17:22:49.127582+00:00	2018-12-17 17:07:58+00:00	2018-12-17 16:28:27.550000+00:00	2018-12-17 18:55:36.800000+00:00	2018-12-17 16:29:41+00:00	2018-12-17 18:45:47.260000+00:00
ud1110	2018-12-17 18:31:50.177885+00:00	2018-12-17 18:32:16.500000+00:00	2018-12-17 17:49:44.700000+00:00	2018-12-17 19:12:41.775000+00:00	2018-12-17 17:51:09.685000+00:00	2018-12-17 19:10:17.430000+00:00
ud0632						
ud0518	2018-12-17 17:32:28.562897+00:00	2018-12-17 17:15:22+00:00	2018-12-17 16:32:49+00:00	2018-12-17 19:01:11+00:00	2018-12-17 16:33:39+00:00	2018-12-17 18:49:25.550000+00:00
ud1058	2018-12-17 17:07:51.375573+00:00	2018-12-17 16:59:05+00:00	2018-12-17 16:51:15+00:00	2018-12-17 18:12:44.450000+00:00	2018-12-17 16:51:43+00:00	2018-12-17 17:48:10.430000+00:00
ud0748	2018-12-17 17:41:39.729645+00:00	2018-12-17 17:27:04.500000+00:00	2018-12-17 17:08:13.850000+00:00	2018-12-17 18:44:14.275000+00:00	2018-12-17 17:09:06+00:00	2018-12-17 18:36:20.655000+00:00
ud1145	2018-12-17 18:22:55.098214+00:00	2018-12-17 18:25:46+00:00	2018-12-17 17:52:08+00:00	2018-12-17 18:50:37.025000+00:00	2018-12-17 17:53:09.610000+00:00	2018-12-17 18:49:58.825000+00:00
ud0368	2018-12-17 17:06:06.676849+00:00	2018-12-17 16:49:26+00:00	2018-12-17 16:24:47+00:00	2018-12-17 18:49:41.475000+00:00	2018-12-17 16:25:50+00:00	2018-12-17 18:30:11.215000+00:00
ud0771	2018-12-17 18:13:12.690141+00:00	2018-12-17 18:11:11+00:00	2018-12-17 17:40:35.300000+00:00	2018-12-17 18:55:40+00:00	2018-12-17 17:47:43+00:00	2018-12-17 18:44:19.900000+00:00
ud1186						
