user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ud0699	2018-12-17 07:22:29.029520+00:00	2018-12-17 07:27:57+00:00	2018-12-17 06:43:16.500000+00:00	2018-12-17 07:42:12+00:00	2018-12-17 06:52:47.950000+00:00	2018-12-17 07:41:48+00:00
ud1163	2018-12-17 07:18:58.253095+00:00	2018-12-17 07:24:46+00:00	2018-12-17 06:32:42.050000+00:00	2018-12-17 07:35:24+00:00	2018-12-17 06:45:36+00:00	2018-12-17 07:35:13+00:00
ud0698	2018-12-17 05:46:49.472237+00:00	2018-12-17 05:43:57+00:00	2018-12-17 05:26:45+00:00	2018-12-17 06:24:34+00:00	2018-12-17 05:28:23+00:00	2018-12-17 06:20:03+00:00
ud0776	2018-12-17 06:54:18.998804+00:00	2018-12-17 06:56:35+00:00	2018-12-17 06:21:14.625000+00:00	2018-12-17 07:17:19.125000+00:00	2018-12-17 06:28:39+00:00	2018-12-17 07:15:47+00:00
ud0974	2018-12-17 07:12:23.536437+00:00	2018-12-17 07:17:56.500000+00:00	2018-12-17 06:28:36.225000+00:00	2018-12-17 07:35:02.675000+00:00	2018-12-17 06:42:02+00:00	2018-12-17 07:34:15.095000+00:00
ud0751	2018-12-17 07:19:55.875258+00:00	2018-12-17 07:26:13.500000+00:00	2018-12-17 05:59:35.975000+00:00	2018-12-17 08:04:48.975000+00:00	2018-12-17 06:18:17.365000+00:00	2018-12-17 08:02:48.635000+00:00
ud0734						
ud1100	2018-12-17 07:57:23.348101+00:00	2018-12-17 08:08:17+00:00	2018-12-17 06:45:38+00:00	2018-12-17 08:35:09+00:00	2018-12-17 06:55:21+00:00	2018-12-17 08:33:34+00:00
ud0621	2018-12-17 06:59:04.140103+00:00	2018-12-17 06:59:24.500000+00:00	2018-12-17 06:26:58.125000+00:00	2018-12-17 07:26:23+00:00	2018-12-17 06:31:49+00:00	2018-12-17 07:24:51+00:00
ud1132	2018-12-17 07:39:19.690476+00:00	2018-12-17 07:47:36.500000+00:00	2018-12-17 06:11:44.800000+00:00	2018-12-17 08:26:31.975000+00:00	2018-12-17 06:36:12.365000+00:00	2018-12-17 08:26:26.150000+00:00
ud0963	2018-12-17 07:17:18.620755+00:00	2018-12-17 07:19:53+00:00	2018-12-17 06:39:26.850000+00:00	2018-12-17 07:40:45.775000+00:00	2018-12-17 06:51:15.790000+00:00	2018-12-17 07:39:53.140000+00:00
ud1146	2018-12-17 07:15:48.800000+00:00	2018-12-17 07:01:17+00:00	2018-12-17 06:43:21.700000+00:00	2018-12-17 08:01:03.400000+00:00	2018-12-17 06:46:56.980000+00:00	2018-12-17 07:54:09.160000+00:00
ud0464	2018-12-17 06:31:35.332699+00:00	2018-12-17 06:10:04+00:00	2018-12-17 05:26:53.100000+00:00	2018-12-17 07:32:25+00:00	2018-12-17 05:45:23+00:00	2018-12-17 07:31:42+00:00
ud0762	2018-12-17 07:25:56.633174+00:00	2018-12-17 07:43:57+00:00	2018-12-17 06:05:41.900000+00:00	2018-12-17 08:12:22+00:00	2018-12-17 06:17:52.180000+00:00	2018-12-17 08:10:16+00:00
ud0683						
ud0938	2018-12-17 07:08:56.020045+00:00	2018-12-17 07:11:21+00:00	2018-12-17 06:31:00+00:00	2018-12-17 07:35:10.800000+00:00	2018-12-17 06:37:11+00:00	2018-12-17 07:33:36+00:00
ud1067	2018-12-17 07:23:16.693267+00:00	2018-12-17 07:16:08+00:00	2018-12-17 06:05:04+00:00	2018-12-17 08:46:42+00:00	2018-12-17 06:10:24+00:00	2018-12-17 08:44:15+00:00
ud1117						
ud0931	2018-12-17 06:34:49.639098+00:00	2018-12-17 06:36:27.500000+00:00	2018-12-17 06:05:40.500000+00:00	2018-12-17 06:58:45+00:00	2018-12-17 06:09:33.100000+00:00	2018-12-17 06:56:08.475000+00:00
ud0526	2018-12-17 06:35:15.591379+00:00	2018-12-17 06:37:43+00:00	2018-12-17 06:10:00.750000+00:00	2018-12-17 06:52:03.525000+00:00	2018-12-17 06:12:49.430000+00:00	2018-12-17 06:50:46.785000+00:00
ud0567						
