user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ud0699	2018-12-17 17:06:10.546125+00:00	2018-12-17 16:54:02+00:00	2018-12-17 16:43:24+00:00	2018-12-17 18:08:47.500000+00:00	2018-12-17 16:43:30.900000+00:00	2018-12-17 17:57:48.500000+00:00
ud1163	2018-12-17 17:11:27.683631+00:00	2018-12-17 16:57:54+00:00	2018-12-17 16:43:04+00:00	2018-12-17 18:10:29+00:00	2018-12-17 16:43:06+00:00	2018-12-17 18:02:20.290000+00:00
ud0698	2018-12-17 18:06:15.721275+00:00	2018-12-17 18:11:00+00:00	2018-12-17 17:25:20.450000+00:00	2018-12-17 18:29:38+00:00	2018-12-17 17:27:48+00:00	2018-12-17 18:29:20.470000+00:00
ud0776	2018-12-17 17:08:49.937799+00:00	2018-12-17 16:59:52+00:00	2018-12-17 16:37:43+00:00	2018-12-17 17:59:00.875000+00:00	2018-12-17 16:37:56+00:00	2018-12-17 17:53:53+00:00
ud0974	2018-12-17 17:10:00.850202+00:00	2018-12-17 17:03:53+00:00	2018-12-17 16:33:42+00:00	2018-12-17 18:05:37.100000+00:00	2018-12-17 16:35:29.905000+00:00	2018-12-17 17:55:24.990000+00:00
ud0751	2018-12-17 16:49:11.627835+00:00	2018-12-17 16:38:53.500000+00:00	2018-12-17 15:52:02+00:00	2018-12-17 18:15:35.075000+00:00	2018-12-17 15:53:12.365000+00:00	2018-12-17 18:01:36.635000+00:00
ud0734						
ud1100	2018-12-17 16:25:59.354430+00:00	2018-12-17 16:04:39+00:00	2018-12-17 15:47:04+00:00	2018-12-17 18:02:17+00:00	2018-12-17 15:47:54+00:00	2018-12-17 17:54:24+00:00
ud0621	2018-12-17 17:27:11.313625+00:00	2018-12-17 17:26:42+00:00	2018-12-17 16:46:34+00:00	2018-12-17 18:10:52.875000+00:00	2018-12-17 16:47:29.315000+00:00	2018-12-17 18:06:52.955000+00:00
ud1132	2018-12-17 16:52:51.714286+00:00	2018-12-17 16:31:43.500000+00:00	2018-12-17 15:52:11.025000+00:00	2018-12-17 18:26:42.400000+00:00	2018-12-17 15:52:32.400000+00:00	2018-12-17 18:07:56.800000+00:00
ud0963	2018-12-17 17:16:30.339623+00:00	2018-12-17 17:04:50.500000+00:00	2018-12-17 16:44:41+00:00	2018-12-17 18:11:40+00:00	2018-12-17 16:45:11.860000+00:00	2018-12-17 18:02:13.085000+00:00
ud1146	2018-12-17 16:55:09.400000+00:00	2018-12-17 17:26:53+00:00	2018-12-17 15:55:21.400000+00:00	2018-12-17 17:41:58.400000+00:00	2018-12-17 15:56:36.760000+00:00	2018-12-17 17:38:59.360000+00:00
ud0464	2018-12-17 18:34:07.670727+00:00	2018-12-17 18:42:09+00:00	2018-12-17 17:28:06+00:00	2018-12-17 19:38:30.700000+00:00	2018-12-17 17:33:49.420000+00:00	2018-12-17 19:22:16+00:00
ud0762	2018-12-17 16:39:10.110048+00:00	2018-12-17 16:14:08+00:00	2018-12-17 15:47:24+00:00	2018-12-17 18:13:57.400000+00:00	2018-12-17 15:47:58+00:00	2018-12-17 18:04:43.760000+00:00
ud0683						
ud0938	2018-12-17 17:20:53.481069+00:00	2018-12-17 17:16:53+00:00	2018-12-17 16:44:00.800000+00:00	2018-12-17 18:11:33+00:00	2018-12-17 16:44:29+00:00	2018-12-17 18:07:16+00:00
ud1067	2018-12-17 17:33:23.496259+00:00	2018-12-17 17:42:50+00:00	2018-12-17 16:11:36+00:00	2018-12-17 18:41:36+00:00	2018-12-17 16:14:36+00:00	2018-12-17 18:37:19+00:00
ud1117						
ud0931	2018-12-17 17:20:02.109023+00:00	2018-12-17 17:19:54+00:00	2018-12-17 16:56:29+00:00	2018-12-17 17:43:45.125000+00:00	2018-12-17 16:59:46+00:00	2018-12-17 17:41:00.725000+00:00
ud0526	2018-12-17 17:37:42.068966+00:00	2018-12-17 17:36:34+00:00	2018-12-17 17:20:01.475000+00:00	2018-12-17 17:56:37+00:00	2018-12-17 17:21:55.430000+00:00	2018-12-17 17:54:51.785000+00:00
ud0567						
ud1188	2018-12-17 17:07:00.207715+00:00	2018-12-17 16:57:23.500000+00:00	2018-12-17 16:43:56.650000+00:00	2018-12-17 17:53:49+00:00	2018-12-17 16:44:23.820000+00:00	2018-12-17 17:50:36.130000+00:00
ud0777						
ud0782	2018-12-17 18:35:41.165000+00:00	2018-12-17 18:35:36.500000+00:00	2018-12-17 18:25:27+00:00	2018-12-17 18:43:17.025000+00:00	2018-12-17 18:29:08+00:00	2018-12-17 18:42:41+00:00
ud0452	2018-12-17 17:46:37.103988+00:00	2018-12-17 17:48:00+00:00	2018-12-17 17:25:08+00:00	2018-12-17 17:59:07+00:00	2018-12-17 17:30:38+00:00	2018-12-17 17:58:14+00:00
ud0628	2018-12-17 17:40:35.356589+00:00	2018-12-17 17:32:00+00:00	2018-12-17 17:10:40.650000+00:00	2018-12-17 18:28:25.400000+00:00	2018-12-17 17:11:12.050000+00:00	2018-12-17 18:23:07.660000+00:00
ud0732						
ud0533	2018-12-17 17:54:15.577540+00:00	2018-12-17 17:53:55+00:00	2018-12-17 17:45:53+00:00	2018-12-17 18:02:55.800000+00:00	2018-12-17 17:46:05+00:00	2018-12-17 18:01:41+00:00
ud0911	2018-12-17 17:57:10.990579+00:00	2018-12-17 17:45:02+00:00	2018-12-17 17:35:22+00:00	2018-12-17 18:38:49.900000+00:00	2018-12-17 17:35:33+00:00	2018-12-17 18:36:56.860000+00:00
ud0512	2018-12-17 17:04:18.323961+00:00	2018-12-17 17:02:00.500000+00:00	2018-12-17 16:28:59+00:00	2018-12-17 17:51:47.725000+00:00	2018-12-17 16:30:32.445000+00:00	2018-12-17 17:44:04.555000+00:00
ud1169						
