user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur0976						
ur7811						
ur4111	2018-12-17 06:43:17.336864+00:00	2018-12-17 06:48:27+00:00	2018-12-17 05:59:10.775000+00:00	2018-12-17 07:04:21+00:00	2018-12-17 06:14:23.085000+00:00	2018-12-17 07:03:55.845000+00:00
ur5261	2018-12-17 06:07:02.716091+00:00	2018-12-17 06:11:17+00:00	2018-12-17 05:36:09.500000+00:00	2018-12-17 06:23:20+00:00	2018-12-17 05:42:28.620000+00:00	2018-12-17 06:23:14+00:00
ur3966	2018-12-17 06:24:26.608303+00:00	2018-12-17 06:28:14.500000+00:00	2018-12-17 05:45:51.425000+00:00	2018-12-17 06:46:25+00:00	2018-12-17 05:54:43+00:00	2018-12-17 06:46:03+00:00
ur3253						
ur5186						
ur9095						
ur0987	2018-12-17 06:16:47.471910+00:00	2018-12-17 06:13:09.500000+00:00	2018-12-17 05:32:36.275000+00:00	2018-12-17 07:25:11.050000+00:00	2018-12-17 05:52:22.090000+00:00	2018-12-17 07:18:40.890000+00:00
ur5516	2018-12-17 07:04:06.847222+00:00	2018-12-17 07:16:15+00:00	2018-12-17 06:01:24.600000+00:00	2018-12-17 07:22:58.225000+00:00	2018-12-17 06:03:44.325000+00:00	2018-12-17 07:22:51.755000+00:00
ur4215	2018-12-17 06:49:51.818548+00:00	2018-12-17 06:51:04.500000+00:00	2018-12-17 06:27:04.025000+00:00	2018-12-17 07:03:30+00:00	2018-12-17 06:31:56.980000+00:00	2018-12-17 07:03:10+00:00
ur1734						
ur0931	2018-12-17 07:03:52.824421+00:00	2018-12-17 07:09:27+00:00	2018-12-17 06:15:40.300000+00:00	2018-12-17 07:25:37+00:00	2018-12-17 06:26:22.360000+00:00	2018-12-17 07:24:56.160000+00:00
ur9071						
ur4536						
ur1801						
ur4673						
ur3735	2018-12-17 06:17:06.202437+00:00	2018-12-17 06:19:55+00:00	2018-12-17 05:48:12.950000+00:00	2018-12-17 06:27:01+00:00	2018-12-17 05:59:53+00:00	2018-12-17 06:26:54+00:00
ur0149	2018-12-17 07:41:46.856099+00:00	2018-12-17 07:46:37+00:00	2018-12-17 07:02:27.200000+00:00	2018-12-17 07:59:27+00:00	2018-12-17 07:13:24.400000+00:00	2018-12-17 07:58:41.720000+00:00
ur0816						
ur3976						
ur4080						
ur8046						
ur6692	2018-12-17 06:19:28.207871+00:00	2018-12-17 06:22:31+00:00	2018-12-17 05:51:49+00:00	2018-12-17 06:31:20+00:00	2018-12-17 05:57:22.200000+00:00	2018-12-17 06:31:09+00:00
ur7020	2018-12-17 06:45:29.350394+00:00	2018-12-17 06:47:51+00:00	2018-12-17 06:21:50.975000+00:00	2018-12-17 07:02:00+00:00	2018-12-17 06:23:51.555000+00:00	2018-12-17 07:01:35+00:00
ur2185	2018-12-17 06:15:51.286618+00:00	2018-12-17 06:21:03+00:00	2018-12-17 05:47:56.750000+00:00	2018-12-17 06:31:18.375000+00:00	2018-12-17 05:52:20+00:00	2018-12-17 06:31:03+00:00
ur1414	2018-12-17 06:18:35.428125+00:00	2018-12-17 06:23:33+00:00	2018-12-17 05:51:15.800000+00:00	2018-12-17 06:31:19.025000+00:00	2018-12-17 05:55:10+00:00	2018-12-17 06:31:10+00:00
ur3886	2018-12-17 06:27:16.418301+00:00	2018-12-17 06:30:20+00:00	2018-12-17 06:01:12.550000+00:00	2018-12-17 06:38:53+00:00	2018-12-17 06:04:45+00:00	2018-12-17 06:38:49+00:00
ur5686	2018-12-17 06:49:05.088083+00:00	2018-12-17 06:52:14+00:00	2018-12-17 06:23:18.250000+00:00	2018-12-17 06:57:56.375000+00:00	2018-12-17 06:32:24.375000+00:00	2018-12-17 06:57:47+00:00
ur2650	2018-12-17 06:13:09.621359+00:00	2018-12-17 06:17:30+00:00	2018-12-17 05:45:57.800000+00:00	2018-12-17 06:27:11+00:00	2018-12-17 05:49:00.840000+00:00	2018-12-17 06:26:54+00:00
ur2823						
ur2032	2018-12-17 06:00:37.669711+00:00	2018-12-17 06:01:55+00:00	2018-12-17 05:05:44.600000+00:00	2018-12-17 06:32:50.600000+00:00	2018-12-17 05:17:57.800000+00:00	2018-12-17 06:32:01.240000+00:00
ur4531						
ur6571						
