user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur0976						
ur7811						
ur4111	2018-12-17 17:23:23.731992+00:00	2018-12-17 17:11:44.500000+00:00	2018-12-17 16:58:12+00:00	2018-12-17 18:28:27.675000+00:00	2018-12-17 16:58:36.155000+00:00	2018-12-17 18:15:58.535000+00:00
ur5261	2018-12-17 17:18:21.894693+00:00	2018-12-17 17:12:21+00:00	2018-12-17 16:54:41+00:00	2018-12-17 18:06:53.100000+00:00	2018-12-17 16:55:13.430000+00:00	2018-12-17 17:52:52.330000+00:00
ur3966	2018-12-17 17:15:53.842960+00:00	2018-12-17 17:06:29+00:00	2018-12-17 16:51:18.825000+00:00	2018-12-17 18:16:41.050000+00:00	2018-12-17 16:51:44.025000+00:00	2018-12-17 17:59:04+00:00
ur3253						
ur5186						
ur9095						
ur0987	2018-12-17 17:59:53.853933+00:00	2018-12-17 18:11:34.500000+00:00	2018-12-17 16:33:22.525000+00:00	2018-12-17 18:44:12.400000+00:00	2018-12-17 16:39:06.270000+00:00	2018-12-17 18:29:15.955000+00:00
ur5516	2018-12-17 18:08:31.958333+00:00	2018-12-17 18:05:43+00:00	2018-12-17 17:36:49.550000+00:00	2018-12-17 19:14:24.225000+00:00	2018-12-17 17:38:19.245000+00:00	2018-12-17 19:12:55.865000+00:00
ur4215	2018-12-17 18:20:55.657258+00:00	2018-12-17 18:16:36+00:00	2018-12-17 18:01:12+00:00	2018-12-17 18:57:41.375000+00:00	2018-12-17 18:01:24+00:00	2018-12-17 18:50:21+00:00
ur1734						
ur0931	2018-12-17 16:51:41.748603+00:00	2018-12-17 16:47:14+00:00	2018-12-17 16:32:02+00:00	2018-12-17 17:29:51+00:00	2018-12-17 16:32:28+00:00	2018-12-17 17:21:27+00:00
ur9071						
ur4536						
ur1801						
ur4673						
ur3735	2018-12-17 17:13:37.301781+00:00	2018-12-17 17:09:03+00:00	2018-12-17 16:59:54+00:00	2018-12-17 17:43:33.350000+00:00	2018-12-17 17:00:02+00:00	2018-12-17 17:38:00+00:00
ur0149	2018-12-17 17:30:52.470416+00:00	2018-12-17 17:26:51+00:00	2018-12-17 17:09:31+00:00	2018-12-17 18:05:14+00:00	2018-12-17 17:10:14+00:00	2018-12-17 17:57:41.320000+00:00
ur0816						
ur3976						
ur4080						
ur8046						
ur6692	2018-12-17 17:26:50.766902+00:00	2018-12-17 17:21:50+00:00	2018-12-17 17:11:18.750000+00:00	2018-12-17 17:54:20.500000+00:00	2018-12-17 17:11:31.150000+00:00	2018-12-17 17:51:41.700000+00:00
ur7020	2018-12-17 18:16:59.035433+00:00	2018-12-17 18:11:08.500000+00:00	2018-12-17 17:51:52+00:00	2018-12-17 18:56:34+00:00	2018-12-17 17:52:07+00:00	2018-12-17 18:53:03.860000+00:00
ur2185	2018-12-17 17:33:57.410488+00:00	2018-12-17 17:28:10+00:00	2018-12-17 17:11:22+00:00	2018-12-17 18:19:45.500000+00:00	2018-12-17 17:11:46+00:00	2018-12-17 18:12:03.150000+00:00
ur1414	2018-12-17 17:24:12.759375+00:00	2018-12-17 17:21:10+00:00	2018-12-17 17:11:19+00:00	2018-12-17 17:51:35+00:00	2018-12-17 17:11:41+00:00	2018-12-17 17:44:35+00:00
ur3886	2018-12-17 17:20:51.200980+00:00	2018-12-17 17:16:25+00:00	2018-12-17 17:07:49+00:00	2018-12-17 17:50:12+00:00	2018-12-17 17:07:53+00:00	2018-12-17 17:45:32.795000+00:00
ur5686	2018-12-17 17:33:26.103627+00:00	2018-12-17 17:31:55+00:00	2018-12-17 17:14:13+00:00	2018-12-17 18:00:39+00:00	2018-12-17 17:14:22.450000+00:00	2018-12-17 17:56:50.275000+00:00
ur2650	2018-12-17 17:32:21.708738+00:00	2018-12-17 17:30:23+00:00	2018-12-17 17:06:46.500000+00:00	2018-12-17 18:13:34.450000+00:00	2018-12-17 17:07:19.350000+00:00	2018-12-17 18:09:53.290000+00:00
ur2823						
ur2032	2018-12-17 17:49:06.881279+00:00	2018-12-17 17:50:32+00:00	2018-12-17 17:20:59.400000+00:00	2018-12-17 18:23:31+00:00	2018-12-17 17:22:04+00:00	2018-12-17 18:17:11.720000+00:00
ur4531						
ur6571						
