user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur0976						
ur7811						
ur4111	2018-12-17 07:14:48.615466+00:00	2018-12-17 07:20:11+00:00	2018-12-17 06:27:57.775000+00:00	2018-12-17 07:37:07.425000+00:00	2018-12-17 06:43:45.155000+00:00	2018-12-17 07:36:39.845000+00:00
ur5261	2018-12-17 06:34:31.798652+00:00	2018-12-17 06:39:45+00:00	2018-12-17 06:01:48.500000+00:00	2018-12-17 06:51:40+00:00	2018-12-17 06:09:20+00:00	2018-12-17 06:51:31+00:00
ur3966	2018-12-17 06:54:34.971119+00:00	2018-12-17 06:59:14.500000+00:00	2018-12-17 06:13:39.600000+00:00	2018-12-17 07:17:44.175000+00:00	2018-12-17 06:23:43+00:00	2018-12-17 07:17:31.970000+00:00
ur3253						
ur5186						
ur9095						
ur0987	2018-12-17 06:51:16.067416+00:00	2018-12-17 06:47:32+00:00	2018-12-17 06:05:53.275000+00:00	2018-12-17 08:05:19.900000+00:00	2018-12-17 06:25:37.090000+00:00	2018-12-17 07:56:57.615000+00:00
ur5516	2018-12-17 07:33:23.777778+00:00	2018-12-17 07:46:33.500000+00:00	2018-12-17 06:28:29.825000+00:00	2018-12-17 07:53:15.225000+00:00	2018-12-17 06:30:48.290000+00:00	2018-12-17 07:52:59.895000+00:00
ur4215	2018-12-17 07:15:09.737903+00:00	2018-12-17 07:16:19+00:00	2018-12-17 06:51:16.175000+00:00	2018-12-17 07:29:17.650000+00:00	2018-12-17 06:56:59.990000+00:00	2018-12-17 07:29:07+00:00
ur1734						
ur0931	2018-12-17 07:42:01.890662+00:00	2018-12-17 07:47:51+00:00	2018-12-17 06:50:38.300000+00:00	2018-12-17 08:05:33.700000+00:00	2018-12-17 07:02:05.780000+00:00	2018-12-17 08:04:53+00:00
ur9071						
ur4536						
ur1801						
ur4673						
ur3735	2018-12-17 06:44:57.517338+00:00	2018-12-17 06:48:03+00:00	2018-12-17 06:15:05.300000+00:00	2018-12-17 06:55:10+00:00	2018-12-17 06:27:26+00:00	2018-12-17 06:54:57+00:00
ur0149	2018-12-17 08:19:27.037253+00:00	2018-12-17 08:23:59+00:00	2018-12-17 07:37:51.200000+00:00	2018-12-17 08:38:50+00:00	2018-12-17 07:49:40.400000+00:00	2018-12-17 08:37:51+00:00
ur0816						
ur3976						
ur4080						
ur8046						
ur6692	2018-12-17 06:46:29.318870+00:00	2018-12-17 06:49:39+00:00	2018-12-17 06:17:59+00:00	2018-12-17 06:58:46+00:00	2018-12-17 06:23:52.350000+00:00	2018-12-17 06:58:35+00:00
ur7020	2018-12-17 07:11:14.366142+00:00	2018-12-17 07:14:18+00:00	2018-12-17 06:46:26.825000+00:00	2018-12-17 07:28:28.350000+00:00	2018-12-17 06:49:06+00:00	2018-12-17 07:27:57.990000+00:00
ur2185	2018-12-17 06:42:34.645570+00:00	2018-12-17 06:47:28.500000+00:00	2018-12-17 06:12:56.750000+00:00	2018-12-17 06:58:45+00:00	2018-12-17 06:18:14.925000+00:00	2018-12-17 06:58:29+00:00
ur1414	2018-12-17 06:45:40.428125+00:00	2018-12-17 06:50:53+00:00	2018-12-17 06:17:23.775000+00:00	2018-12-17 06:58:45+00:00	2018-12-17 06:21:31.515000+00:00	2018-12-17 06:58:39+00:00
ur3886	2018-12-17 06:55:28.570261+00:00	2018-12-17 06:58:14+00:00	2018-12-17 06:28:31.550000+00:00	2018-12-17 07:07:29+00:00	2018-12-17 06:32:17.935000+00:00	2018-12-17 07:07:19+00:00
ur5686	2018-12-17 07:18:29.510363+00:00	2018-12-17 07:22:06.500000+00:00	2018-12-17 06:52:06.500000+00:00	2018-12-17 07:27:54+00:00	2018-12-17 07:01:45.825000+00:00	2018-12-17 07:27:38.550000+00:00
ur2650	2018-12-17 06:39:52.747573+00:00	2018-12-17 06:43:52+00:00	2018-12-17 06:11:12.150000+00:00	2018-12-17 06:54:38.350000+00:00	2018-12-17 06:14:36.390000+00:00	2018-12-17 06:54:18.990000+00:00
ur2823						
ur2032	2018-12-17 06:26:37.829528+00:00	2018-12-17 06:27:41+00:00	2018-12-17 05:30:48+00:00	2018-12-17 07:00:26.600000+00:00	2018-12-17 05:42:52.800000+00:00	2018-12-17 06:59:25+00:00
ur4531						
ur6571						
