user_id	mean	median	CI_low	CI_high	CI_83_low	CI_83_high
ur0976						
ur7811						
ur4111	2018-12-17 16:51:52.444915+00:00	2018-12-17 16:39:58.500000+00:00	2018-12-17 16:25:24+00:00	2018-12-17 17:59:40.100000+00:00	2018-12-17 16:25:50.155000+00:00	2018-12-17 17:46:53.690000+00:00
ur5261	2018-12-17 16:50:52.842460+00:00	2018-12-17 16:44:07+00:00	2018-12-17 16:26:23+00:00	2018-12-17 17:41:13.450000+00:00	2018-12-17 16:27:04+00:00	2018-12-17 17:26:47.520000+00:00
ur3966	2018-12-17 16:45:45.444043+00:00	2018-12-17 16:36:20.500000+00:00	2018-12-17 16:19:56+00:00	2018-12-17 17:48:53.050000+00:00	2018-12-17 16:20:31+00:00	2018-12-17 17:30:47+00:00
ur3253						
ur5186						
ur9095						
ur0987	2018-12-17 17:25:25.297753+00:00	2018-12-17 17:37:58.500000+00:00	2018-12-17 15:53:08.100000+00:00	2018-12-17 18:10:55.400000+00:00	2018-12-17 15:59:06+00:00	2018-12-17 17:56:00.955000+00:00
ur5516	2018-12-17 17:39:15.041667+00:00	2018-12-17 17:36:16+00:00	2018-12-17 17:06:31.550000+00:00	2018-12-17 18:47:19+00:00	2018-12-17 17:07:47.210000+00:00	2018-12-17 18:45:51.900000+00:00
ur4215	2018-12-17 17:55:37.754032+00:00	2018-12-17 17:50:39+00:00	2018-12-17 17:35:24+00:00	2018-12-17 18:33:48.200000+00:00	2018-12-17 17:35:30+00:00	2018-12-17 18:26:10+00:00
ur1734						
ur0931	2018-12-17 16:13:32.691141+00:00	2018-12-17 16:08:23+00:00	2018-12-17 15:52:03.300000+00:00	2018-12-17 16:53:57+00:00	2018-12-17 15:52:36+00:00	2018-12-17 16:44:53.580000+00:00
ur9071						
ur4536						
ur1801						
ur4673						
ur3735	2018-12-17 16:45:46.002812+00:00	2018-12-17 16:40:46+00:00	2018-12-17 16:31:44+00:00	2018-12-17 17:16:55.350000+00:00	2018-12-17 16:31:52+00:00	2018-12-17 17:11:03+00:00
ur0149	2018-12-17 16:53:12.278305+00:00	2018-12-17 16:50:05+00:00	2018-12-17 16:30:10+00:00	2018-12-17 17:29:40+00:00	2018-12-17 16:31:08.280000+00:00	2018-12-17 17:21:31.760000+00:00
ur0816						
ur3976						
ur4080						
ur8046						
ur6692	2018-12-17 16:59:49.673058+00:00	2018-12-17 16:55:15+00:00	2018-12-17 16:43:51+00:00	2018-12-17 17:28:19.500000+00:00	2018-12-17 16:44:03.150000+00:00	2018-12-17 17:25:31.700000+00:00
ur7020	2018-12-17 17:51:13.944882+00:00	2018-12-17 17:44:42.500000+00:00	2018-12-17 17:25:20+00:00	2018-12-17 18:32:16+00:00	2018-12-17 17:25:36.515000+00:00	2018-12-17 18:28:42.355000+00:00
ur2185	2018-12-17 17:07:14.075045+00:00	2018-12-17 17:00:44.500000+00:00	2018-12-17 16:43:53+00:00	2018-12-17 17:54:45.500000+00:00	2018-12-17 16:44:28+00:00	2018-12-17 17:46:51.150000+00:00
ur1414	2018-12-17 16:57:07.746875+00:00	2018-12-17 16:54:31+00:00	2018-12-17 16:43:54+00:00	2018-12-17 17:25:25+00:00	2018-12-17 16:44:17.515000+00:00	2018-12-17 17:18:01+00:00
ur3886	2018-12-17 16:52:39.045752+00:00	2018-12-17 16:48:46.500000+00:00	2018-12-17 16:39:16+00:00	2018-12-17 17:23:07+00:00	2018-12-17 16:39:21+00:00	2018-12-17 17:18:10.990000+00:00
ur5686	2018-12-17 17:04:01.676166+00:00	2018-12-17 17:02:07+00:00	2018-12-17 16:44:14+00:00	2018-12-17 17:32:30.750000+00:00	2018-12-17 16:44:28+00:00	2018-12-17 17:28:29+00:00
ur2650	2018-12-17 17:05:38.572816+00:00	2018-12-17 17:03:15+00:00	2018-12-17 16:39:18.100000+00:00	2018-12-17 17:48:29.450000+00:00	2018-12-17 16:39:47.050000+00:00	2018-12-17 17:44:43.290000+00:00
ur2823						
ur2032	2018-12-17 17:23:06.701674+00:00	2018-12-17 17:24:52+00:00	2018-12-17 16:53:26.800000+00:00	2018-12-17 17:58:27.600000+00:00	2018-12-17 16:54:44+00:00	2018-12-17 17:52:16.720000+00:00
ur4531						
ur6571						
